num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,gross,Class
200,104,129,887,991,8204,3427,1,98,PG,,2010,962,6.5,0,977600,A
154,85,9,970,12000,54077,25590,0,112,PG,100000000,2007,11000,6.8,0,58867694,B
166,90,6,617,904,74887,2807,2,129,PG-13,9000000,2008,715,6.7,0,31487293,B
139,96,3,35,18000,28109,18178,3,110,PG,37000000,2008,82,6,0,48006503,B
166,129,468,183,919,113065,2024,0,337,R,20000000,1982,691,6.9,0,37567440,B
206,90,52,224,34000,46813,34983,1,150,PG-13,250000,2011,487,6.7,12000,3388210,A
133,84,4,546,8000,17169,10123,1,70,R,6000000,2012,806,5.5,9000,5895238,A
151,84,119,750,807,111526,3629,7,347,PG-13,48000000,2003,780,5.5,0,110000082,B
110,108,480,579,970,26100,4374,1,97,PG-13,20000000,2006,931,5.9,484,17803796,A
16,100,32,175,610,2580,1441,1,54,PG,3000000,1990,232,5.3,710,15369573,A
48,82,0,51,472,3665,858,1,81,R,3000000,2000,324,4.4,131,4142507,A
43,90,16,16,86,4285,163,0,84,PG,1100,2004,23,6.6,456,85222,A
231,104,171,0,109,131969,117,0,651,R,950000,2005,8,7.1,12000,1007962,A
433,115,729,622,1000,91082,3798,0,274,R,12000000,2013,844,7.8,28000,17613460,A
159,101,365,14,237,19234,302,3,258,X,4700000,1986,28,5.5,0,8025872,A
68,125,438,372,18000,178731,33865,2,261,PG-13,26000000,1993,15000,7.7,0,77324422,B
12,95,43,611,1000,5143,5213,1,62,PG-13,10000000,1998,788,2.3,724,306715,A
13,98,15,281,691,2061,1761,0,34,PG,20000000,1981,374,5.4,501,8500000,A
23,106,23,200,1000,5673,1610,2,37,PG-13,8000000,1997,273,6.8,0,532190,A
398,158,0,104,272,372990,533,0,1107,R,25000000,2007,111,8.1,16000,40218903,B
53,112,152,459,16000,87090,17568,0,142,PG,8000000,1979,466,7.6,0,36500000,B
37,129,0,982,12000,17859,16237,4,89,PG-13,38000000,1996,1000,6.6,911,10300000,A
42,111,161,132,11000,32544,12161,1,69,PG-13,45000000,1994,894,6.3,0,46815748,B
92,106,68,391,835,32357,2110,0,199,R,2000000,2002,601,6.8,3000,410241,A
129,99,53,491,4000,28855,8297,0,190,PG-13,6000000,2003,3000,7.2,0,2207975,A
416,132,274,11000,26000,228554,72881,0,710,PG-13,170000000,2012,17000,6.1,53000,155111815,B
300,176,0,561,18000,324671,20354,0,458,R,100000000,2007,782,7.8,0,130127620,B
60,107,12000,695,10000,60476,14006,0,97,PG-13,60000000,1990,3000,5.9,0,82670733,B
122,121,12000,975,11000,163492,23602,3,460,R,13000000,1993,10000,8,15000,12281500,A
106,117,99,165,596,58222,1293,0,331,PG,20000000,2003,265,7.1,0,67325559,B
486,153,16000,11000,13000,885175,36741,1,1527,R,75000000,2009,11000,8.3,42000,120523073,B
63,82,12,281,8000,48458,9271,2,239,PG-13,17000000,1998,357,6.2,0,30324946,B
125,99,15,61,12000,48245,12166,1,154,R,40000000,2008,68,5.4,0,15279680,A
16,104,28,582,962,2801,3871,0,28,R,10000000,1997,826,7.4,1000,12514138,A
191,101,293,1000,11000,296904,21276,1,604,PG-13,81000000,2003,7000,6.7,0,242589580,B
223,116,0,672,1000,170179,3090,0,656,R,75000000,1997,720,6.3,0,47748610,B
163,101,16,472,943,106098,2786,3,150,PG-13,8000000,2010,769,7.2,20000,6350058,A
69,95,15,528,1000,62861,3092,2,232,PG,20000000,2004,852,5.9,0,51431160,B
88,103,365,49,907,5931,1411,0,58,Unrated,500000,2006,365,6.2,0,23000,A
125,105,67,40,681,27257,914,3,59,PG,105000000,2013,71,5.4,0,71017784,B
35,98,188,693,2000,12942,4277,0,34,PG,3000000,1997,970,5.1,902,24629916,A
210,145,21000,243,534,207686,1543,0,776,R,50000000,1992,273,6.4,0,55473600,B
41,107,17,322,594,4478,2020,1,23,R,,2013,591,5.6,825,4556,A
273,80,66,816,2000,104089,5628,0,319,PG-13,10000000,2010,904,6.3,16000,33583175,B
80,104,54,775,901,34561,5265,0,116,G,60000000,2002,857,5.5,1000,139225854,B
110,170,0,889,14000,267980,16949,1,545,R,54000000,1990,1000,7.6,0,66676062,B
64,127,249,808,18000,91176,30383,3,130,R,50000000,1995,11000,6.6,0,67823573,B
94,95,65,246,506,37479,1266,3,152,PG-13,19000000,2004,316,5.9,0,58156435,B
81,86,92,466,744,29661,3001,3,179,PG-13,25000000,2002,489,5.8,0,38230435,B
149,152,488,947,22000,207287,36897,1,822,R,60000000,2000,11000,7.9,15000,32522352,B
158,126,26,385,638,56665,2282,0,469,R,15000000,2003,624,7.6,0,13005485,A
25,101,0,83,240,10771,490,8,65,R,6800000,2003,83,6.4,413,10696,A
112,93,221,781,12000,161858,26760,0,289,PG-13,34200000,1999,11000,6.4,0,163479795,B
73,89,18,226,658,23476,1233,0,181,PG,60000000,2003,257,4.4,858,66734992,B
202,105,0,303,1000,60709,2444,0,922,R,7000000,2003,340,6,0,12583510,A
116,123,7,692,931,44168,2912,3,216,PG-13,35000000,2001,754,6.2,989,40334024,B
75,131,82,85,813,51314,1520,0,265,PG,20000000,1978,366,5.7,0,102922376,B
606,240,17000,4000,29000,780588,46057,3,1138,R,100000000,2013,11000,8.2,138000,116866727,B
134,113,88,421,11000,130070,13693,11,316,PG-13,82000000,2005,437,6.4,0,158115031,B
257,136,0,3000,19000,263329,34839,1,899,PG-13,126000000,2005,12000,6.9,0,35799026,B
436,123,258,326,16000,223393,17657,2,550,PG-13,200000000,2011,368,5.6,24000,116593191,B
297,136,0,17,903,84118,1579,2,245,PG-13,70000000,2010,592,6.3,13000,52474616,B
168,134,38,2000,11000,35140,24351,3,409,PG-13,45000000,2005,8000,6.4,0,19377727,A
217,105,260,3000,20000,88035,42473,0,201,R,26000000,2009,15000,7.1,10000,28501651,A
109,101,43,432,5000,34942,6867,2,185,R,30000000,2003,618,5.8,1000,34604054,B
146,95,21,503,12000,72591,15237,0,289,PG,120000000,2001,802,6.8,0,84037039,B
156,91,17,78,534,75920,1083,0,474,R,35000000,2002,385,5.5,0,30079316,B
221,143,0,272,15000,394317,15838,1,1051,PG-13,90000000,2000,410,7.7,23000,233630478,B
42,141,176,672,11000,69663,14178,1,133,PG-13,62000000,1994,913,6.9,0,122012710,B
86,99,154,347,774,9361,2498,1,162,PG-13,25000000,2000,692,4.7,378,14983572,A
157,120,132,1000,33000,160776,54877,1,402,PG,30000000,2000,18000,7.8,0,115648585,B
166,97,17,74,158,29488,467,0,326,R,1800000,1984,84,5.9,0,32600000,B
59,125,0,184,443,43559,1439,1,137,R,70000000,1994,277,6.2,0,65012000,B
98,87,9,1000,15000,11257,20061,0,65,PG,50000000,2010,2000,4.2,0,33643461,B
83,132,130,80,29000,125219,29265,1,244,PG-13,35000000,1998,130,6.4,0,56876365,B
154,130,149,798,1000,53053,5101,0,132,R,30000000,2008,807,6.7,0,15709385,A
198,154,333,16000,22000,118483,61110,3,674,R,79000000,2003,20000,7.2,0,95632614,B
234,101,0,721,1000,20376,5158,1,166,R,2500000,2012,725,5.1,15000,1163508,A
160,108,123,690,26000,56338,41359,4,215,R,14000000,2009,14000,6.5,4000,15483540,A
49,98,176,468,742,36253,2457,2,92,R,25000000,1997,658,6.7,0,44455658,B
656,130,0,650,1000,452465,3133,1,695,R,44500000,2012,660,7.7,89000,136019448,B
270,101,36,27,7000,355810,7227,1,889,R,8000000,2006,150,7.9,15000,59889948,B
233,216,17000,1000,29000,314033,47657,3,1166,R,100000000,2002,14000,7.5,0,77679638,B
388,146,14000,979,25000,116159,46726,1,488,PG-13,66000000,2011,19000,7.2,28000,79883359,B
157,129,21000,283,495,261069,1397,1,506,R,50000000,1997,294,7.8,25000,48265581,B
43,83,88,348,3000,76850,4767,5,85,PG-13,30000000,1994,459,6.4,1000,51109400,B
259,119,0,639,13000,139535,15757,8,632,R,50000000,2004,1000,7.3,0,24006726,A
428,154,0,581,894,326180,2593,2,899,PG-13,195000000,2011,829,6.3,46000,352358779,B
188,101,0,577,2000,65785,4286,1,160,PG,80000000,2010,653,7,16000,55673333,B
464,116,176,322,783,69757,2097,4,1211,PG-13,144000000,2016,370,5.5,62000,118099659,B
227,92,0,10000,11000,41170,32875,3,298,R,35000000,2007,10000,6.2,0,14998070,A
190,114,116,982,7000,80338,10419,2,264,PG-13,,2010,1000,5.9,0,72980108,B
166,74,487,802,15000,623757,19046,1,391,G,30000000,1995,1000,8.3,0,191796233,B
87,95,6,248,849,11375,2413,2,91,R,25000000,2001,841,4.9,295,5516708,A
331,95,464,11000,23000,376600,54075,43,494,PG-13,7500000,2009,17000,7.7,40000,32391374,B
100,133,272,628,10000,383784,12285,3,331,R,25000000,1988,898,8,12000,172825435,B
211,102,25,473,1000,92789,4324,0,998,R,40000000,2007,741,4.7,0,41797066,B
184,115,529,325,576,78008,1554,0,160,PG-13,28000000,2013,447,6.7,23000,71346930,B
362,129,456,716,1000,220020,4585,0,1360,R,40000000,2015,935,4.1,101000,166147885,B
322,122,681,105,998,53607,1327,4,432,PG-13,185000000,2016,119,7.5,30000,130468626,B
128,152,0,745,940,45031,4310,1,376,PG,72000000,2001,826,6.9,0,27796042,A
119,111,529,505,18000,28542,19805,3,208,R,35000000,2001,826,6.8,0,11405825,A
187,106,357,4000,23000,272223,45327,2,988,PG-13,38000000,2001,14000,6.7,14000,144512310,B
28,97,4,301,611,1524,1692,0,29,R,1000000,1997,394,7,166,464655,A
94,119,7,903,18000,70292,29484,1,274,PG-13,40000000,2001,9000,6.7,8000,25178165,A
4,110,44,221,644,82,1440,0,1,,,2015,503,6.6,175,1711,A
370,87,13000,787,940,73886,4774,0,165,PG,39000000,2012,925,7,25000,35287788,B
486,112,230,12000,26000,414070,59803,3,532,PG-13,170000000,2013,20000,7.1,63000,206360018,B
85,106,48,39,18000,22649,18630,3,131,PG-13,21000000,2001,558,6.3,0,40219708,B
81,126,80,225,668,126907,2004,0,235,PG,8000000,1984,641,7.2,0,90800000,B
57,125,0,711,49000,181380,52201,5,223,PG-13,25000000,1993,1000,6.9,0,219200000,B
176,122,0,158,18000,822500,19078,0,2715,R,15000000,1999,828,8.4,22000,130058047,B
183,125,541,409,920,189855,2699,3,1018,PG-13,125000000,1997,890,3.7,0,107285004,B
98,83,2,137,591,41239,1729,0,166,R,22000000,2005,489,4.6,887,22264487,A
120,101,343,384,581,112669,2373,1,226,R,27000000,1987,571,6.6,0,38122105,B
79,139,378,303,11000,3077,12786,1,47,R,50000000,2016,552,6.7,10000,20389967,A
50,107,607,602,2000,9227,5461,0,70,R,50000000,1995,979,5.1,422,9795017,A
91,82,62,615,975,10233,3326,0,63,PG,85000000,2010,760,4.3,0,43575716,B
123,93,13,141,742,20815,1227,0,335,R,5000000,1995,152,4.9,0,15126948,A
73,119,43,523,953,22304,3525,4,33,PG-13,,2008,713,6.2,894,44087387,B
97,172,355,188,749,40359,1941,5,235,Not Rated,2100000,1946,208,8.1,0,23650000,A
49,105,52,275,477,3668,2312,4,85,PG-13,15000000,2000,397,4.6,157,5217498,A
121,105,0,4,15,183288,36,1,395,R,2500000,1995,12,8.1,22000,5400000,A
121,93,0,628,1000,95294,4701,0,363,R,2600000,1974,1000,7.8,12000,119500000,B
60,100,36,554,13000,43376,15944,0,249,R,70000000,1991,773,5.7,0,17218080,A
160,100,11,970,13000,19147,19330,1,97,PG-13,7500000,2009,3000,7.1,0,9176553,A
97,91,38,91,730,8294,1405,0,160,PG-13,6500000,1999,461,3.6,342,10149779,A
76,115,184,551,730,29424,3293,0,336,R,,2001,648,7,0,510092,A
26,100,52,394,795,85903,2638,0,92,PG,50000000,1995,419,6,0,100328194,B
329,115,521,883,13000,491077,17369,0,820,PG-13,110000000,2007,897,8.1,0,227137090,B
252,93,165,350,26000,117999,27834,0,181,R,40000000,2011,956,6.6,16000,29113588,A
175,127,57,3000,12000,218341,29069,1,498,PG-13,90000000,2000,11000,6.5,0,101643008,B
161,126,835,893,49000,604904,63710,2,682,R,10000000,1997,13000,8.3,31000,138339411,B
206,108,750,971,49000,132501,70996,0,548,PG,100000000,2006,20000,6.5,0,197992827,B
185,98,0,594,18000,294163,20060,0,718,PG,16000000,1987,636,8.1,33000,30857814,B
21,81,467,287,467,2770,1431,1,32,R,100000,1987,322,7,471,5228617,A
147,82,87,444,1000,36029,3818,0,99,R,10000000,2012,581,6.1,14000,6842058,A
126,106,12,946,11000,14281,17560,2,64,PG,31000000,2010,3000,6.5,0,11854694,A
391,105,20,844,22000,165792,26233,1,392,R,10500000,2010,982,6.7,44000,26589953,A
146,89,29,458,2000,27664,4867,0,260,PG-13,20000000,2008,690,3.9,1000,43818159,B
222,150,0,855,23000,70771,27829,0,671,PG-13,30000000,2005,909,6.7,0,12712093,A
223,91,157,224,490,29967,1136,2,126,R,7000000,2010,259,6.3,0,7455447,A
173,117,153,734,35000,87165,49743,0,184,PG-13,40000000,2014,11000,6.5,12000,46280507,B
66,111,79,2000,11000,45602,26088,0,114,R,86000000,1997,11000,6.1,979,42877165,B
27,118,0,410,26000,7663,27756,2,38,R,7000000,2010,854,6,694,46451,A
167,91,50,67,521,57281,758,0,350,R,45000000,2002,108,6.5,0,66790248,B
385,130,14000,366,813,412454,2047,0,962,PG,8000000,1975,559,8,21000,260000000,B
106,124,161,681,21000,18310,26334,1,63,PG-13,55000000,2007,3000,5.9,672,5755286,A
55,109,155,293,426,34471,1761,0,147,PG-13,50000000,1995,387,5,0,81022333,B
40,93,148,170,549,1633,1373,5,17,PG,17500000,2013,269,4.4,0,7017178,A
215,120,14000,548,861,281842,2811,0,515,PG,10500000,1982,725,7.9,34000,434949459,B
84,135,134,525,4000,21406,6214,2,169,PG-13,14000000,2001,1000,6.5,0,16929123,A
169,93,0,465,11000,49739,13748,1,407,PG-13,90000000,2004,2000,5.2,0,59475623,B
95,85,10,178,3000,15956,3617,0,118,R,3500000,1987,273,6,1000,14000000,A
275,112,11000,159,385,67893,1205,0,163,R,17000000,2012,223,6.3,18000,16684352,A
148,134,377,812,22000,55329,36859,9,499,,3000000,1998,11000,7.8,0,3000000,A
145,88,12,182,730,33042,2217,0,90,PG,150000000,2009,607,5.1,0,119420252,B
82,140,0,552,720,68159,3044,1,209,R,38000000,1991,576,7.2,0,35183792,B
53,134,109,249,919,55350,1695,3,180,PG-13,55000000,1995,303,5.9,0,37600435,B
85,118,97,437,775,43084,3197,0,99,PG-13,26000000,2014,523,6.7,19000,26761283,A
103,109,7,450,835,25549,2572,0,171,PG-13,16000000,2002,787,7.2,0,16346122,A
108,97,83,579,912,13048,2682,2,227,R,14000000,2000,786,4.1,243,21468807,A
232,99,101,327,1000,65037,2323,2,273,PG-13,80000000,2007,422,5.9,0,15071514,A
19,110,13,221,439,3942,1567,0,65,PG,3500000,2010,399,6.3,0,2848578,A
324,110,0,11000,17000,108843,46646,1,281,R,7000000,2012,15000,6.1,54000,113709992,B
24,111,19,107,241,1449,824,0,30,PG-13,18500000,2016,118,5.4,0,6462576,A
218,128,47,982,18000,116994,20965,2,324,PG-13,175000000,2013,1000,6.3,35000,38297305,B
143,92,892,492,783,30628,2930,2,471,R,25000000,2005,595,2.9,937,1550000,A
149,104,20,130,3000,27301,3825,6,101,PG-13,6000000,2009,591,7.4,0,6670712,A
57,90,32,809,1000,15517,6299,0,85,PG,60000000,2000,891,3.6,500,35231365,B
134,143,338,643,12000,63330,16007,2,405,PG,35000000,1979,664,6.4,0,82300000,B
100,91,67,597,2000,17829,4729,1,99,PG,20000000,2008,641,3.7,0,94497271,B
163,121,17000,245,12000,53028,13040,0,382,R,55000000,1999,368,6.8,0,16640210,A
21,89,23,899,1000,4288,5535,3,21,PG,28000000,1997,937,5.4,517,8119205,A
97,99,11,971,11000,80305,15369,0,393,R,16000000,2001,983,5.7,0,37882551,B
178,102,0,876,40000,130094,46186,1,471,R,29000000,2003,4000,6.4,0,55845943,B
49,94,80,230,1000,10883,2151,2,73,PG,65000000,1999,417,4.9,448,36830057,B
27,115,44,902,23000,36624,29370,4,132,PG,15000000,1994,4000,7.3,0,50003300,B
267,170,17000,827,29000,264318,34582,0,799,PG-13,110000000,2004,3000,7.5,0,102608827,B
654,123,395,1000,17000,465019,32392,0,995,PG-13,190000000,2013,11000,7,129000,202351611,B
54,92,143,613,1000,7444,3086,2,42,PG-13,16000000,2012,945,5.1,0,2964,A
