num_critic_for_reviews,duration,director_likes,actor3_likes,actor2_likes,actor1_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,title_year,imdb_score,movie_facebook_likes,gross,class
148,86,176,1598,39931,1730190,64190,17396,129,17000000,2011,5.6,16000,27854896,A
73,93,17171,6428,104143,1250630,19805,2777,122,8500000,1996,5.7,0,15171475,A
132,122,8090,1747,1212,1803,20000,1291,188,12000000,2006,6.2,0,6754898,A
474,128,117,1648,8519529,5323,195333,1058,409,20000000,2015,8.1,80000,44988180,B
159,97,232,1294,855,1067916,35654,4687,155,10000000,2016,6,20000,35794166,B
123,88,16621,251,1133554,10232148,185258,10325,404,24000000,2003,7.2,0,74608545,B
208,88,1094,39,1096033,75501646,270207,14823,606,140000000,2002,6.1,2000,190418803,B
161,90,63405,98,15832,660209,55008,2462,93,19000000,2011,6.3,21000,35033759,B
358,119,9674,5978,18493233,4375109,203154,31782,698,70000000,2013,6.5,45000,98895417,B
36,97,383,390340,3232,172,8687,3100,62,16000000,1997,2.8,0,1686429,A
653,121,498649,473765,101621080,38756,682155,32438,1097,170000000,2014,8.1,96000,333130696,B
66,94,66,6498,2520,391,27580,3423,172,17000000,2003,5.3,0,42672630,B
74,93,4756,21110,12282,21792,14280,5580,171,75000000,2001,4.7,683,5409517,A
16,94,6,15179,620,151504,1004,1936,8,,1999,5.2,143,9016377,A
140,96,102,684,2128,13987,62272,3294,207,17000000,2002,5.6,2000,37939782,B
163,91,377,668032,59739,8519,103022,1804,269,75000000,2005,6.3,0,128200012,B
276,123,0,5394,4101,64219,182661,14017,681,110000000,2007,5.2,0,115802596,B
315,124,11277,38761,3129432,16512340,75329,75793,256,60000000,2015,6.6,24000,56443482,B
213,97,236,0,4357,6836930,74691,12841,165,25000000,2010,6.4,0,23527955,A
210,95,61,2425,52187,31990,64322,36095,145,145000000,2016,7.2,24000,143523463,B
125,108,24015,4150,947,44008,340085,3660,327,40000000,1989,7.8,12000,118500000,B
100,107,266,796,19073,884,12093,4565,188,40000000,2000,5.1,394,29374178,A
107,99,648932,7267,21552,195261,28159,4702,96,14000000,2015,5.1,0,12282677,A
474,126,80,162876,1503511,31990,188457,38873,867,155000000,2015,6.6,82000,89732035,B
75,90,1834,0,0,183,6246,642,76,42000,2000,7.5,451,241816,A
370,87,5195966,25330,13965,5859,73886,4774,165,39000000,2012,7,25000,35287788,B
159,140,632132,505,4921,7367350,208817,17171,296,62000000,1995,7.6,5000,172071312,B
276,115,5195966,617,110041,707388,320284,57844,1361,150000000,2005,6.7,0,206456431,B
354,111,92350,7751,366934,28013,735784,3983,2105,30000000,2003,8.1,13000,70098138,B
46,107,12975632,1052601,83162,1395111,8962,5264,137,6000000,2006,5,676,63231524,B
166,119,7422,1591,23,626161,63677,1651,460,32000000,2002,6.5,0,35228696,B
249,134,339680,174,3619,2300,25465,2281,190,40000000,2014,6.9,16000,47034272,B
42,89,3116,3661,678049,5809,9285,2241,91,13000000,2000,4.9,0,60008303,B
220,92,352,1352,3087,1732,161448,3950,1473,400000,2004,6.9,0,44540956,B
28,107,1442,2514,3750,6234,5817,3067,37,25000000,1988,5.6,377,16118077,A
251,94,59,7142257,809,6272,76828,2371,314,5000000,2011,5.8,24000,104007828,B
300,176,3293,1312192,22422,4065913,324671,20354,458,100000000,2007,7.8,0,130127620,B
242,87,53,6392,68,4565,39690,707,394,1250000,1981,6.1,0,19100000,A
111,89,22546,545,2772,5393,24412,1335,240,9000000,1999,7.1,944,3193102,A
59,115,3539,511,4721,13827,16562,2606,73,50000000,1997,6.2,697,10556196,A
186,73,385,23943585,17221,20248,644348,6458,656,45000000,1994,8.5,17000,422783777,B
233,93,1263,0,5357,8581,60062,1749,351,8000000,2008,5.9,0,17427926,A
5,93,-1,1110,5937,157897,6701,1151,26,20000000,1994,4.3,444,11784000,A
12,92,1436,6367,569,314359,1686,20135,28,4000000,1997,5.8,161,12836,A
249,117,157334,62725,842153,95112,537419,47728,1028,15000000,1998,8.2,35000,17439163,A
111,109,1220,13963,244089,31838,25344,4947,77,18000000,2009,5.6,0,22927390,A
23,111,421,252086,3087,4859,5612,5262,122,10000000,2012,5.5,0,3333823,A
124,112,49260,1322,963,4689,46396,1466,287,18000000,1997,7.5,0,7837632,A
233,118,480571,3359,355258,24443,98472,27114,492,88000000,2005,5.9,0,37899638,B
114,115,4970,588,195260,18493233,30077,15571,175,42000000,2002,6.3,893,41543207,B
26,124,235,1529297,157,14700,2998,1462,74,20000000,1980,4.5,1000,2000000,A
190,110,198,78,413241,245075,27117,11431,140,25000000,2011,5.8,7000,10324441,A
28,111,1196162,94,26209,1286353,5917,4834,71,15000000,1999,6.3,391,1954202,A
324,110,22546,5225835,1730189,19859412,108843,46646,281,7000000,2012,6.1,54000,113709992,B
486,112,80,759012,157262,5833035,414070,59803,532,170000000,2013,7.1,63000,206360018,B
377,101,112,2403,1167124,7845,272534,4451,345,165000000,2012,7.8,40000,189412677,B
62,101,320,7440,15806,7845,11965,4184,39,900000,2012,6.4,0,6643,A
161,129,269,815,2032,3901,132048,318,203,40000000,2009,6.4,12000,93952276,B
5,86,280,9938920,2846,1036,405,623,15,,1997,5.4,97,33598,A
55,109,5255,684558,212837,24680,9424,3394,109,10000000,1985,6.9,0,33000000,B
181,94,5390083,1825,4396807,850943,145350,15419,643,92000000,2000,5.5,0,125305545,B
242,106,28326,112,3417,24443,30284,14544,102,15000000,2012,6.6,10000,7556708,A
172,93,169982,53,314,1432,73501,837,333,4000000,1988,7.3,27000,13008928,A
54,106,62,105255,2772,603447,10413,4327,111,40000000,1999,6.3,579,13376506,A
56,123,4605,84,5761095,5579,11600,5306,64,17000000,2013,6.7,7000,70492685,B
128,94,1858422,109452,12780,1858417,31169,23283,192,18000000,2000,6.7,812,17071230,A
105,88,2737,1911,0,14024,90360,1178,147,2600000,1940,7.5,0,84300000,B
112,93,25,3375,3102060,28013,89687,4293,666,20000000,2007,2.3,0,39737645,B
297,136,349421,197,1750,3820,84118,1579,245,70000000,2010,6.3,13000,52474616,B
66,82,50,698,22929,21786,1389,2046,22,60000,2011,5.6,0,40557,A
82,111,339827,13987,204725,10584,43378,9638,292,30000000,2003,7.6,0,41407470,B
68,121,4600,48,380,8227,128010,1446,136,35000000,1992,6.7,0,144731527,B
73,111,80209,550,737,165,8708,768,56,4000000,2004,7.3,345,228524,A
495,142,6900,331086,157345,576394,321227,28631,1067,200000000,2014,6.7,41000,202853933,B
342,132,24321,58160568,101621078,45723324,284792,55345,366,125000000,2011,7.3,54000,209805005,B
60,114,0,202,1072,5767,18366,1816,219,30000000,1998,6.9,0,18252684,A
169,89,0,31668,16596,165991,16437,5470,68,24000000,2011,4.9,0,9639242,A
180,95,48,15741,2148765,4375169,113483,29926,245,50000000,2009,5.8,0,20488579,A
232,100,34157,504,314366,29007678,89383,39507,293,8700000,2006,7.1,0,5480996,A
69,115,47,88672,7936,850944,90677,14275,389,20000000,1998,6.5,0,29753944,A
109,106,319385,3238,1441,94,34224,916,137,9500000,2010,7,10000,58214,A
304,113,5082,633134,56,1964,138435,814,527,32000000,2007,6.6,0,39568996,B
191,101,11799,7339,1578716,18493237,296904,21276,604,81000000,2003,6.7,0,242589580,B
289,122,632132,7931,29758,5833037,71782,28328,161,100000000,2015,7,27000,24985612,A
220,110,230258,663,5198,850943,209133,14609,962,21000000,2001,7.6,0,52353636,B
150,87,357223,460025,413593,39202336,43300,6658,250,62000000,2008,3.8,0,32178777,B
214,104,241,1233,652,19859425,145852,18322,164,30000000,2012,6.8,32000,125014030,B
168,134,1462,20249,10232139,12780,35140,24351,409,45000000,2005,6.4,0,19377727,A
25,100,231,1124,6218,2506,781,1906,20,7000000,1999,6.3,157,2148212,A
44,100,4152,36268765,14677,7120,8983,3952,84,71000000,1997,4.7,316,11466088,A
68,85,103,11873,338142,11952,2673,646,31,,2007,8.4,116,10353690,A
117,131,1834,3517,3359,840620,29715,16252,161,18000000,2004,7.1,0,3752725,A
81,94,578,1177,61643,706549,6223,10869,40,,2014,5.9,0,137945,A
93,115,1248,1019,485,7042489,16215,11433,138,24000000,2000,6.4,401,882710,A
125,107,1834,2013,6547,4333,11476,3944,50,28000000,2015,6.1,0,6998324,A
350,103,638,2200,151505,1189776,202967,19168,378,28000000,2013,6.6,36000,28751715,A
107,101,414,2507,19131,4037209,27580,5942,232,33000000,2001,5.5,742,51758599,B
43,83,1889,383444,59,6561,76850,4767,85,30000000,1994,6.4,1000,51109400,B
114,113,1300,12106,10170,45326,45815,4397,222,45000000,2004,6.1,1000,21009180,A
145,95,0,647675,214796,10962,315549,8134,789,11000000,1999,7,0,101736215,B
265,171,3293,9687,2678,473763,982637,6521,2368,103000000,2000,8.5,21000,187670866,B
415,113,1356,5271,1965,86680,173530,34738,264,60000000,2013,6.7,40000,45996718,B
65,100,112,1220,408,8357,23527,4789,104,25000000,2005,5.5,767,16247775,A
31,102,3,1242,74415,3904,55895,5433,115,16500000,1991,6.8,0,59847242,B
510,124,26152,49420,39965,6836933,508818,19761,679,140000000,2011,6.9,46000,176636816,B
301,100,4627,15116,3490,4478,692482,5641,866,94000000,2003,8.2,11000,380838870,B
156,87,471,15739,195261,410779,37156,8353,129,3000000,2012,5.3,0,418268,A
60,102,1,17351,52459,2890829,6723,30978,36,15500000,2008,6.8,1000,317040,A
147,97,3977,4358,7160,6234,92924,4458,339,,1987,7.2,19000,32222567,B
284,110,742284,518,124646,806950,138190,16691,405,75000000,2011,6.1,30000,83503161,B
50,100,9615,2439,5390,4004,84824,4121,95,28000000,1987,6.4,0,153665036,B
188,120,900,0,28907,8519,68720,3175,191,110000000,2004,5.8,0,24004159,A
95,112,1441,2935,6255,21793,48621,5709,239,35000000,1999,6.6,0,26494611,A
103,100,391903,4222699,603453,62725,44885,18291,107,38000000,2002,5.1,478,85570368,B
81,97,29029,135480,3722,5554,9502,1395,100,3000000,1988,6.5,812,7282851,A
251,113,7133,762,10611,110041,149019,24106,666,180000000,2007,6.1,0,70083519,B
509,186,2188909,12761,6759,37935,483540,9152,951,225000000,2013,7.9,83000,258355354,B
70,93,4005971,1296,890,117910,18723,2711,146,25000000,1994,6,0,32055248,B
71,103,1169,1731,232284,106416,5721,3299,20,14000000,2010,4.9,1000,20246959,A
320,136,146696,8533,7673,157257,534658,37723,3597,115000000,1999,6.5,13000,474544677,B
87,78,318,4478,276,10232148,12845,11124,118,50000000,2006,6.6,624,58336565,B
123,111,1089,4521,9210,64219,93894,14823,286,3600000,1995,7.6,0,31968347,B
156,102,7486,280,3367,64219,69172,13156,316,22000000,2005,6.6,0,12469811,A
104,108,281,752,9446346,3129432,21319,34377,166,60000000,2002,6.2,416,22433915,A
333,105,15116,31088,268,26511,79461,1454,463,20000000,2010,6.3,10000,35596227,B
79,102,78,99,38379,5438,26755,3037,104,26000000,2003,5,542,47285499,B
136,97,0,2612,8450,143656,43867,5519,83,23000000,2011,6.3,0,6923891,A
198,116,24015,17733,4150,44008,732212,3230,809,19000000,1985,8.5,39000,210609762,B
223,120,5818,4801,2245,1405,105446,3876,321,10700000,1982,7.4,11000,76600000,B
712,169,300957,1133026,3972891,5225820,928227,31488,2725,165000000,2014,8.6,349000,187991439,B
113,137,46944,12887,2431,31990,26034,25469,226,50000000,1999,6.5,0,35168395,B
233,131,10471,1576,2256038,303180,592582,40585,722,28000000,1988,8.2,25000,81350242,B
65,116,5036,6717,24445,4065913,40126,33233,107,46000000,1996,6.6,975,58918501,B
188,100,24015,1112,1105,7367343,120798,16264,444,165000000,2004,6.6,10000,665426,A
38,106,25434,1323,203652,1102,2742,964,73,225000,2000,7,72,1027119,A
97,94,4399293,10612,3325,62725,13866,13446,55,,2007,5.5,488,12550242,A
42,100,6,678048,3122,840622,9868,15612,81,22000000,2002,5.5,217,121972,A
258,94,2974,1102,25713,55121723,83097,27759,134,30000000,2012,6.5,12000,17120019,A
326,114,847,6561,98279,463102,184561,12908,554,110000000,2013,6.7,123000,61656849,B
116,70,1163,662,140,146,94225,63,136,,1942,7.4,0,102797150,B
223,127,1833,10310,2887,463101,837759,12643,900,18000000,1980,8.8,17000,290158751,B
119,98,398,60,31837,958148,122187,6742,339,37000000,2004,6.1,0,56044241,B
128,108,1858419,6685,10590,1858417,25165,14843,155,18000000,2003,6.4,827,3203044,A
457,112,1791389,9065,1791384,335941,471644,21773,623,50000000,2012,7,74000,218628680,B
88,113,3312,455478,390433,7120,20539,4039,125,20000000,2007,5.9,681,18882880,A
32,140,85476,570,355885,555,17124,1394,68,35000000,1992,6.6,949,24276500,A
154,124,0,24428,58465,51196270,83786,17050,231,20000000,2007,7.5,0,19661987,A
181,97,1365,872,8364,2782,21746,994,93,1000000,2008,7.2,0,2508841,A
151,124,226,3947,6432,4607,35833,6393,96,25000000,2014,7,10000,36447959,B
17,86,426,2449,13903,13746,1038,2322,21,500000,1997,6.5,51,334041,A
84,90,1194,15877,3983,3524,10986,2486,84,20000000,2010,5.3,0,25077977,A
391,109,231217,188,1076,527,251349,1582,547,6000000,2008,7.9,10000,26236603,A
110,97,21,1621,5157,5366,14018,1173,190,1000000,2001,6.7,682,7022940,A
124,114,4970,3313,5761099,4065913,45895,19739,157,50000000,2003,6.5,1000,40905277,B
156,103,1926,455477,40215,277785,54242,4662,145,19800000,2014,6.6,14000,34290142,B
129,135,627,304,94,19168,36636,1845,289,28000000,2004,7.5,0,64371181,B
193,100,16968,83,0,36592,85028,0,404,65000,2004,7.3,0,11529368,A
37,99,-1,794,27332,269868,8279,2321,101,3000000,2006,3,837,7059537,A
64,94,281,12925,36007,6685,21542,2880,88,20000000,2002,6.1,977,12398628,A
125,105,431,0,373153,1195,27257,914,59,105000000,2013,5.4,0,71017784,B
93,91,48,4665,15741,473762,7199,7875,53,8495000,2015,4.5,0,1712111,A
88,107,1834,908,1835,15806,10896,2747,57,,2007,6.9,415,402820,A
97,94,1782,141708,13085,248,36666,4868,144,25000000,2003,5.3,0,30222640,B
230,129,758089,581,761,4065913,273108,19148,646,45000000,2006,7.6,0,88504640,B
109,114,646,4906,2507,17377,109445,2842,426,40000000,2001,5.9,0,70836296,B
257,136,187954,473764,62725,1300431,263329,34839,899,126000000,2005,6.9,0,35799026,B
129,92,1058,149607,121467,28907,15200,3767,76,9000000,2008,6.4,1000,4881867,A
8,84,83,134,2710110,217,191,312,10,,2002,5.8,7,25918,A
211,102,410958,33,5291,13138,92789,4324,998,40000000,2007,4.7,0,41797066,B
448,136,3188,12019,180627,707385,370704,54083,484,250000000,2011,6.7,58000,241063875,B
85,111,284,14403,309,337,31984,3239,154,,2004,5.9,0,28165882,A
42,91,142,3938,950,13966,7159,2913,88,15000000,1998,5,247,10443316,A
375,109,712,139346,3568,19859412,408302,19968,345,42000000,2012,7.2,39000,138447667,B
156,94,40,6730,461,135893,13562,2259,103,18000000,2016,6.1,19000,59573085,B
109,101,414,5376430,9123,21929171,34942,6867,185,30000000,2003,5.8,1000,34604054,B
146,110,339680,6063,5198,339688,34356,18635,260,50000000,2002,6.4,705,26199517,A
450,94,57652,963,2772,9446350,279179,11984,440,18000000,2010,7.6,63000,18329466,A
201,144,632132,4977,2507,5642,148238,2523,529,88000000,2005,8,0,61644321,B
77,84,103,11399,4079,8840,13210,2915,138,20000000,2004,5.8,269,15712072,A
148,90,107,12847,4692260,17232550,24969,19952,258,20000000,2006,4.7,0,20259297,A
125,100,143,678,13085,164612,55398,49847,418,24000000,1998,4.6,891,39989008,B
98,96,4061,698,6651,64219,36914,14978,86,35000000,2012,5.5,0,183125,A
46,111,2848,2440,723,2155,107801,2403,109,26000000,1990,6,0,91457688,B
155,116,646,0,1185,7346,185878,1711,481,51000000,2000,6.5,0,90567722,B
190,96,20971,502,15149,13647,111087,3492,319,10000000,2007,5.9,0,63270259,B
47,101,6309969,111,2617,24680,17997,1860,140,50000000,1994,4.4,812,38590500,B
143,88,6737371,3143,6100,390173,171792,4478,222,90000000,1998,7.5,12000,120618403,B
291,113,202,647675,35732,10962,172112,8398,181,50000000,2012,6.7,39000,56724080,B
128,97,40,7881,9332,79674,49676,17278,181,25000000,2005,6.6,0,47124400,B
215,118,379,139678,1298023,3432581,136680,28045,149,52000000,2011,6.4,13000,37035845,B
148,116,617,21807,519565,21252,91414,16539,359,11000000,1982,7.7,0,78900000,B
123,93,0,855,648,9614,20815,1227,335,5000000,1995,4.9,0,15126948,A
19,87,276,975,201,90815,922,1139,23,3000000,1993,5.1,107,1200000,A
237,123,4824,7818,4665,11648631,242188,11930,1426,125000000,2000,6.1,0,215397307,B
131,120,82,17221,5390,11406,15079,6212,79,21000000,2008,6.1,1000,16284360,A
185,105,1926,28907,232754,6746,130272,54039,209,150000000,2009,5.9,2000,177243721,B
125,148,9463,4244289,2466368,57006,142448,2566,319,27000000,1980,7.9,14000,54200000,B
55,115,11799,121856,95112,6746,80580,74382,375,50000000,1998,6.7,0,135014968,B
7,110,1,489597,22333,7706509,1103,3293,11,,1994,6.5,160,8880705,A
277,88,5818,1372,452,7941,96410,1094,826,83532,1974,7.5,0,30859000,B
12,88,886,0,1418,29467,91,318,4,1200000,2001,6.1,27,58936,A
310,99,972,45272,42916,7673,152826,16184,253,150000000,2012,5.8,19000,83640426,B
52,96,342992,1395112,4692262,473762,7098,8097,41,8500000,2013,5,0,21564616,A
100,84,276465,469527,13585,15070,21379,1238,88,1500000,2007,6.3,0,173066,A
2,112,117,668,16629,54668,606,263584,5,1000000,2012,5.6,706,96734,A
120,91,269,816699,19765,6746,32157,52566,119,35000000,2007,5.3,913,43792641,B
30,108,758089,6367,16561,9573,4961,4497,33,12000000,1996,5,251,4903000,A
274,113,300957,8414,15832,163,845580,1997,2067,9000000,2000,8.5,40000,25530884,A
173,106,4722,5162,195261,10232148,212499,11264,277,65000000,2008,6.9,0,100468793,B
79,95,186,129393,38379,4083,16651,2515,149,5000000,2000,7,0,34099640,B
96,106,592,8850,10522,83162,8427,3462,88,14000000,2005,6.4,1000,32645546,B
168,95,102,1493,461,135893,102071,1495,756,5000000,2002,6.6,5000,241437427,B
128,123,5387,9210,1207,514534,61651,7072,271,12000000,2002,7.4,0,25776062,A
213,102,142,0,5715,303181,123558,26998,609,45000000,1999,7.3,19000,71423726,B
104,96,1858422,1913,2449,1858417,35586,11867,131,20000000,1997,7.4,0,10569071,A
112,75,232,5082,38379,11437,25870,3590,281,9000000,2006,5.1,0,23078294,A
39,97,32,974,5304,13915,3911,2739,22,2000000,2015,5.3,0,2557668,A
43,117,18194,0,1434365,24428,24757,2348,81,45000000,1996,6,0,20101861,A
68,109,15651,76,1122,2999,2603,1439,34,,2011,6.3,952,841206,A
212,98,4211,230567,759868,157257,168314,28027,903,27000000,2004,7.3,12000,33987757,B
32,91,675330,6085,40189,366932,5312,3104,40,15600000,2002,4.5,939,13571817,A
412,101,1300,165,8840,2256034,165618,15481,503,92000000,2013,5.3,66000,67344392,B
53,152,13834,1816,2784,5542,5294,2888,67,3800000,1965,6.8,251,14873,A
111,105,5195964,3960,6234,707385,357581,42330,588,20000000,1990,7.9,16000,56362352,B
49,107,4866,13805,7578,1753,8692,3374,126,51000000,1987,4.2,754,14375181,A
231,120,40,7042496,180626,5833030,37750,46719,134,115000000,2016,6.1,16000,47952020,B
60,104,423,1759,14519,18783,24790,9662,173,25000000,1995,5.2,0,4064333,A
440,107,642335,10170,3359,2976,177383,4631,447,135000000,2011,7.4,44000,77564037,B
299,130,7133,30482705,2890831,546792,220758,64040,919,50000000,2009,4.6,13000,296623634,B
146,87,1834,6157,51010,3319,60202,3850,114,,2011,5.7,0,30538669,B
143,110,1360,21785,1018,17232549,44339,19928,425,4000000,2002,6.7,0,6525762,A
10,89,1072,23052,341,25414,744,4249,19,1900000,2015,7.2,1000,444044,A
209,129,5111,1106,1968,4065913,86422,20056,363,80000000,2004,6.6,0,65948711,B
99,119,153,248,288,497,14301,64,45,20000000,2008,7,0,4234040,A
88,97,1003,29771,1478,151504,123390,1724,248,12000000,1995,6.8,0,56631572,B
147,93,66,215,37825,1842,45317,2872,536,19000000,1999,5.6,0,40846082,B
351,122,58459,5958,58160451,19859435,146352,31958,288,130000000,2013,5.8,42000,122512052,B
160,92,196,2,75,1672,22521,170,342,2200000,1985,4.7,1000,21300000,A
70,115,414,605064,9038,21929184,57040,9082,365,25000000,2000,6.1,0,55973336,B
39,88,1171,4189,3253,12271,774,483,7,500000,2012,7.1,590,151389,A
38,115,339680,5275,5149,339688,39451,17209,138,6900000,1985,7.3,0,41400000,B
194,112,62,18244,132360,1189776,55617,19974,266,38000000,2016,5.2,14000,34912982,B
415,128,107634,8530,2865,29007681,477300,23996,621,90000000,2009,7.6,20000,209019489,B
35,105,20686,687,1805,2242,746,1231,27,1500000,2005,6.5,88,3123749,A
167,144,372,0,884,355259,137003,18761,658,65000000,2001,6.9,0,56083966,B
324,100,17850106,17849968,2999,15116,294810,2036,387,260000000,2010,7.8,29000,200807262,B
126,90,75,2198,492,1409,26407,2655,154,500000,2004,7.3,1000,603943,A
304,132,8599,10170,46718,485,284252,2466,1058,8000000,1973,8,18000,204565000,B
296,104,50,29164,19392,64219,81800,16481,211,50000000,2011,5.5,15000,10706786,A
140,136,26152,21415,31814,31990,67856,36925,345,100000000,2004,6.7,0,67286731,B
184,85,101,23854,483337,3419074,53160,1173,121,112000000,2010,4.9,0,42776259,B
